Drawing:
# A (mrad) B (mrad)
-14.1106  -37.5988
-14.1106  -18.7994
-14.1106  0.0000
-14.1106  18.7994
-14.1106  37.5988
-7.0697	  -37.5988
-7.0697	  -18.7994
-7.0697	  0.0000
-7.0697	  18.7994
-7.0697	  37.5988
0.0000	  -37.5988
0.0000	  -18.7994
0.0000	  0.0000
0.0000	  18.7994
0.0000	  37.5988
7.0697	  -37.5988
7.0697	  -18.7994
7.0697	  0.0000
7.0697	  18.7994
7.0697	  37.5988
14.1106	  -37.5988
14.1106	  -18.7994
14.1106	  0.0000
14.1106	  18.7994
14.1106	  37.5988


Data:
# x      a       y     yerror
-412.5 -0.054 0.627934 0.031938
-412.5 -0.054 0.627934 0.031938
-412.5 -0.054 0.627934 0.031938
-412.5 -0.054 0.627934 0.031938
-412.5 -0.054 0.627934 0.031938
-412.5 -0.034 -3.513853 0.618963
-412.5 -0.034 -0.11     0.6
-412.5 -0.034 2.484779  1.450928
-412.5 -0.034 5.740054  1.592980
-412.5 -0.034 8.0       2.4
-412.5 -0.01315 -10.879592 4.559611
-412.5 -0.01315 -4.53      0.28
-412.5 -0.01315 2.906765   0.197455 
-412.5 -0.01315 7.554558   0.277740 
-412.5 -0.01315 15.568255  0.910709
-412.5 0.00876 -20.725008 0.343071 
-412.5 0.00876 -8.845436  0.446259 
-412.5 0.00876 3.968280   0.246726 
-412.5 0.00876 15.935158  0.404716 
-412.5 0.00876 29.017688  0.265169
-412.5 0.0283 -34.979401 0.506931 
-412.5 0.0283 -15.231040 0.556890 
-412.5 0.0283 4.766407   0.465172 
-412.5 0.0283 25.573768  0.535372 
-412.5 0.0283 39.543655  0.462286
87.5 -0.02858 0.801509  0.053519
87.5 -0.02858 0.801509  0.053519 
87.5 -0.02858 0.801509  0.053519
87.5 -0.02858 0.801509  0.053519
87.5 -0.02858 0.801509  0.053519
87.5 -0.008848 -6.184233 2.119957 
87.5 -0.008848 -1.427075 2.463944
87.5 -0.008848 2.7       2.517525 
87.5 -0.008848 5.499537  0.732118 
87.5 -0.008848 8.46      0.160876
87.5 0.01126 -10.201201 1.046060
87.5 0.01126 -4.648978  0.448392
87.5 0.01126 2.606270   0.178848 
87.5 0.01126 8.675846   3.475637 
87.5 0.01126 17.722212  0.193792
87.5 0.03202 -20.474211 0.496802 
87.5 0.03202 -7.397867  0.505177 
87.5 0.03202 4.474697   0.431822
87.5 0.03202 14.889983  0.266974 
87.5 0.03202 26.745275  0.830992
87.5 0.05137 -28.483703 0.563715 
87.5 0.05137 -12.377929 0.783857 
87.5 0.05137 5.141419   0.538990 
87.5 0.05137 23.004943  0.221948 
87.5 0.05137 39.531680  1.840554
337.5 -0.014 0.801459 0.057529 
337.5 -0.014 0.801459 0.057529 
337.5 -0.014 0.801459 0.057529 
337.5 -0.014 0.801459 0.057529 
337.5 -0.014 0.801459 0.057529 
337.5 0.00498 -7.0      2.2
337.5 0.00498 -3.406775 0.980865
337.5 0.00498 1.653729  1.1
337.5 0.00498 4.6       1.5
337.5 0.00498 10.0      2.0
337.5 0.026 -11.470131 0.295564 
337.5 0.026 -1.836123 1.535373 
337.5 0.026 3.593852 0.626722 
337.5 0.026 9.766471 0.263426 
337.5 0.026 18.068738 0.919307
337.5 0.0452 -18.900691 1.646671 
337.5 0.0452 -8.648014 3.099783 
337.5 0.0452 3.296950 0.893160 
337.5 0.0452 14.577633 2.227064 
337.5 0.0452 26.044253 0.418069
337.5 0.064 -27.486057 0.483448 
337.5 0.064 -12.642563 0.593075 
337.5 0.064 4.478753 0.549058 
337.5 0.064 21.050221 0.342603 
337.5 0.064 35.316724 0.3201009







